"lang"
{
"Language"	"norwegian"
"Tokens"
{
"DOTA_WearableType_Daggers"	"Dolker"
"DOTA_WearableType_Glaives"	"Glavin"
"DOTA_WearableType_Weapon"	"Våpen"
"DOTA_WearableType_Armor"	"Rustning"
"DOTA_WearableType_Hair"	"Hår"
"DOTA_WearableType_Belt"	"Belte"
"DOTA_WearableType_Mask"	"Maske"
"DOTA_WearableType_Cape"	"Kappe"
"DOTA_WearableType_Bracer"	"Armbeskytter"
"DOTA_WearableType_Boots"	"Støvler"
"DOTA_WearableType_Hands"	"Hender"
"DOTA_WearableType_Head"	"Hode"
"DOTA_WearableType_Mace"	"Stav"
"DOTA_WearableType_Gauntlet"	"Stridshanske"
"DOTA_WearableType_Shoulder"	"Skulder"
"DOTA_WearableType_Bow"	"Bue"
"DOTA_WearableType_ShoulderPads"	"Skulderputer"
"DOTA_WearableType_Quiver"	"Kogger"
"DOTA_WearableType_Shield"	"Skjold"
"DOTA_WearableType_Horns"	"Horn"
"DOTA_WearableType_Beard"	"Skjegg"
"DOTA_WearableType_Necklace"	"Halskjede"
"DOTA_WearableType_Fish_Treat"	"Fiskegodbit"
"DOTA_WearableType_Meathook"	"Kjøttkrok"
"DOTA_WearableType_Offhand_weapon"	"Sekundærvåpen"
"DOTA_WearableType_Back"	"Rygg"
"DOTA_WearableType_Gloves"	"Hansker"
"DOTA_WearableType_Legs"	"Bein"
"DOTA_WearableType_offhand"	"Sekundær"
"DOTA_WearableType_arms"	"Armer"
"DOTA_WearableType_Unnamed_New_Item"	"Ny gjenstand"
"DOTA_WearableType_New_Item"	"Ny gjenstand"
"DOTA_WearableType_body"	"Kropp"
"DOTA_WearableType_Tail"	"Hale"
"DOTA_WearableType_Pauldrons"	"Skulderplater"
"DOTA_WearableType_Chain_Weapon"	"Kjedevåpen"
"DOTA_WearableType_Helm"	"Hjelm"
"DOTA_WearableType_Pegleg"	"Provisorisk protese"
"DOTA_WearableType_Sword"	"Sverd"
"DOTA_WearableType_Hat"	"Hatt"
"DOTA_WearableType_Ability_Modifier"	"Evnemodifikasjon"
"DOTA_WearableType_Toga"	"Toga"
"DOTA_WearableType_Hand"	"Hånd"
"DOTA_WearableType_Taunt"	"Hån"
"DOTA_WearableType_Skin"	"Hud"
"DOTA_WearableType_Alternate_Ultimate"	"Alternativ ultimate"
"DOTA_WearableType_Alternate_Attack"	"Alternativt angrep"
"DOTA_WearableType_Pauldron"	"Skulderpute"
"DOTA_WearableType_Spaulder"	"Skulderplate"
"DOTA_WearableType_Squishy_Hat"	"Bløt hatt"
"DOTA_WearableType_Bracers"	"Armbeskyttere"
"DOTA_WearableType_Robe"	"Kjortel"
"DOTA_WearableType_Headdress"	"Hodeplagg"
"DOTA_WearableType_Mailed_Skirt"	"Ringbrynje"
"DOTA_WearableType_Hat_and_Hair"	"Hatt og hår"
"DOTA_WearableType_Shoes"	"Sko"
"DOTA_WearableType_Spikes"	"Pigger"
"DOTA_WearableType_Bone_Helm"	"Beinhjelm"
"DOTA_WearableType_Mine"	"Mine"
"DOTA_WearableType_Fins"	"Finner"
"DOTA_WearableType_Axe"	"Øks"
"DOTA_WearableType_Shoulder_Guard"	"Skulderbeskyttere"
"DOTA_WearableType_Cloak_and_Tunic"	"Kappe og kjortel"
"DOTA_WearableType_Hammer"	"Hammer"
"DOTA_WearableType_Dead_Shark"	"Død hai"
"DOTA_WearableType_Finished_Lunch"	"Ferdig lunsj"
"DOTA_WearableType_Bone_Club"	"Beinklubbe"
"DOTA_WearableType_Makeshift_Weapon"	"Improvisert våpen"
"DOTA_WearableType_Shoulderguard"	"Skulderbeskyttelse"
"DOTA_WearableType_Fancy_Pantaloons"	"Stilige pantalonger"
"DOTA_WearableType_Cloth_Bracer"	"Armbeskyttere av stoff"
"DOTA_WearableType_Stuffed_Toy"	"Kosedyr"
"DOTA_WearableType_Staff"	"Stav"
"DOTA_WearableType_Gruesome_Trophies"	"Grusomme trofeer"
"DOTA_WearableType_Hood"	"Hette"
"DOTA_WearableType_Shuriken"	"Shuriken"
"DOTA_WearableType_Mancatcher"	"Menneskefanger"
"DOTA_WearableType_Apron"	"Forkle"
"DOTA_WearableType_Armlet"	"Armbånd"
"DOTA_WearableType_Scepter"	"Septer"
"DOTA_WearableType_Abomination"	"Styggedom"
"DOTA_WearableType_Greaves"	"Grakser"
"DOTA_WearableType_Saw"	"Sag"
"DOTA_WearableType_Hook"	"Krok"
"DOTA_WearableType_Abdomen"	"Bakkropp"
"DOTA_WearableType_Sect_Pauldron"	"Sektskulderpute"
"DOTA_WearableType_Sect_Helm"	"Sekthjelm"
"DOTA_WearableType_Sect_Sword"	"Sektsverd"
"DOTA_WearableType_Flag"	"Flagg"
"DOTA_WearableType_Blade_RightHand"	"Sverd, høyrehånd"
"DOTA_WearableType_Blade_LeftHand"	"Sverd, venstrehånd"
"DOTA_WearableType_Sect_Cape"	"Sektkappe"
"DOTA_WearableType_Sect_Skirt"	"Sektskjørt"
"DOTA_WearableType_Sect_Gauntlet"	"Sektstridshanske"
"DOTA_WearableType_Scarf"	"Skjerf"
"DOTA_WearableType_Leather_Pants"	"Lærbukser"
"DOTA_WearableType_Blade_RightHanded"	"Sverd, høyrehånd"
"DOTA_WearableType_Talisman"	"Talisman"
"DOTA_WearableType_Garland"	"Krans"
"DOTA_WearableType_Exort_Cape"	"Exort-kappe"
"DOTA_WearableType_Exort_Bracer"	"Exort-armbeskytter"
"DOTA_WearableType_Exort_Crest"	"Exort-emblem"
"DOTA_Item"	"Brukbar"
"DOTA_Custom_Courier"	"Kurer"
"DOTA_Custom_HexModel"	"Tilpasset hex-dyr"
"DOTA_WearableType_Announcer"	"Oppleser"
"DOTA_WearableType_Custom_Courier"	"Kurer"
"DOTA_WearableType_MegaKills"	" 
"
"DOTA_WearableType_Treasure_Chest"	"Skattekiste"
"DOTA_TreasureChest_Type"	"Skatt"
"DOTA_WearableType_Tool"	"Redskap"
"DOTA_WearableType_Battle_Bonus"	"Kamp-bonus"
"DOTA_Item_Gift"	"Gave"
"DOTA_WearableType_Gift"	"Gave"
"DOTA_WearableType_Strange_Essence"	"Merkelig essens"
"DOTA_WearableType_LeagueViewPass"	" 
"
"DOTA_WearableType_Bundle"	"Pakke"
"DOTA_Wearable_Riki_DefaultWeapon"	"Rikis dolker"
"DOTA_Item_AntiMages_Glaives"	"Anti-Mages glavin"
"DOTA_Item_Desc_AntiMages_Glaives"	" 
"
"DOTA_Item_Axes_Axe"	"Axes øks"
"DOTA_Wearable_Axe_DefaultArmor"	"Axes skulderputer"
"DOTA_Wearable_Axe_DefaultHair"	"Axes hestehale"
"DOTA_Item_Axes_Belt"	"Axes belte"
"DOTA_Wearable_Jugg_DefaultMask"	"Juggernauts maske"
"DOTA_Wearable_Jugg_DefaultWeapon"	"Juggernauts våpen"
"DOTA_Wearable_Jugg_DefaultCape"	"Juggernauts kappe"
"DOTA_Wearable_Jugg_DefaultBracers"	"Juggernauts armbeskyttere"
"DOTA_Item_Kunkkas_Boots"	"Kunkkas støvler"
"DOTA_Item_Kunkkas_Hands"	"Kunkkas hender"
"DOTA_Item_Kunkkas_Sword"	"Kunkkas sverd"
"DOTA_Item_Omniknights_Bracers"	"Omniknights armbeskyttere"
"DOTA_Item_Desc_Bracers"	"Omniknights gamle armbeskyttere"
"DOTA_Item_Kunkkas_Head"	"Kunkkas hode"
"DOTA_FacelessVoid_Default_Weapon"	"Faceless Voids våpen"
"DOTA_Wearable_Sven_DefaultHead"	"Svens maske"
"DOTA_Wearable_Sven_DefaultSword"	"Svens sverd"
"DOTA_Wearable_Sven_DefaultBelt"	"Svens belte"
"DOTA_Wearable_Sven_DefaultGauntlet"	"Svens stridshanske"
"DOTA_Wearable_Sven_DefaultShoulder"	"Svens skulder"
"DOTA_Wearable_Windrunner_DefaultHead"	"Windrangers hode"
"DOTA_Wearable_Windrunner_DefaultBow"	"Windrangers bue"
"DOTA_Wearable_Windrunner_ShoulderPads"	"Windrangers skulderputer"
"DOTA_Wearable_Windrunner_Cape"	"Windrangers kappe"
"DOTA_Wearable_Windrunner_DefaultQuiver"	"Windrangers kogger"
"DOTA_Item_Queen_of_Pains_Weapon"	"Queen of Pains våpen"
"DOTA_Wearable_Silencer_DefaultWeapon"	"Silencers våpen"
"DOTA_Wearable_Silencer_DefaultShield"	"Silencers skjold"
"DOTA_Wearable_Furion_DefaultWeapon"	"Prophets stav"
"DOTA_Wearable_Furion_DefaultHorns"	"Prophets horn"
"DOTA_Wearable_Furion_DefaultBeard"	"Prophets skjegg"
"DOTA_Wearable_Furion_DefaultCape"	"Prophets kappe"
"DOTA_Wearable_Furion_DefaultNecklace"	"Prophets halskjede"
