"lang"
{
"Language"	"ukrainian"
"Tokens"
{
"DOTA_AttackMove"	"Атакувати / Примусова атака"
"DOTA_Move"	"Рухатися"
"DOTA_UnitQuery"	"Дізнатися про об’єкт/істоту"
"DOTA_ExecuteAbility0"	"Здібність №1"
"DOTA_ExecuteAbility1"	"Здібність №2"
"DOTA_ExecuteAbility2"	"Здібність №3"
"DOTA_ExecuteAbility3"	"Здібність №4"
"DOTA_ExecuteAbility4"	"Здібність №5"
"DOTA_ExecuteAbility5"	"Ультимативна здібність"
"DOTA_RespawnTime"	"Відродження через %s1 с"
"DOTA_RespawnTimeShort"	"Відродження через %s1 с"
"DOTA_UnitLevel"	"Рівня %s1"
"DOTA_StrengthStatus"	"%s1 СИЛ"
"DOTA_STR"	"СИЛ"
"DOTA_AgilityStatus"	"%s1 СПР"
"DOTA_AGI"	"СПР"
"DOTA_IntellectStatus"	"%s1 ІНТ"
"DOTA_INT"	"ІНТ"
"DOTA_DamageStatus"	"%s1 шкоди"
"DOTA_ArmorStatus"	"%s1 броні"
"DOTA_ARMOR"	"БРОНЯ"
"DOTA_UnitHold"	"Утримувати позицію"
"DOTA_UnitStop"	"Зупинитись"
"DOTA_LevelUp"	"РІВЕНЬ"
"DOTA_LevelUp_Req"	"Потрібен %s1-й рівень героя"
"DOTA_AttributesUp"	"%s1-й РІВЕНЬ"
"DOTA_Abilities"	"ЗДІБНОСТІ"
"DOTA_Items"	"СПОРЯДЖЕНІ ПРЕДМЕТИ"
"DOTA_HUDShop"	"КРАМНИЦЯ"
"DOTA_AttribArmor"	"Броня"
"DOTA_AttribDamage"	"Шкода"
"DOTA_More"	"ДЕТАЛЬНІШЕ"
"DOTA_Developer"	"Розробник"
"DOTA_NeedMana"	"%s1 с"
"DOTA_ManaCost"	"ВИТРАТА МАНИ %s1"
"DOTA_Basics"	"ОСНОВНІ"
"DOTA_Upgrades"	"ПОЛІПШЕННЯ"
"DOTA_Attributes"	"ХАРАКТЕРИСТИКИ"
"DOTA_LevelLabel"	"%s1-й рівень"
"DOTA_StackCount"	"Кількість: %s1"
"DOTA_Charges"	"Зарядів: %s1"
"DOTA_Health"	"ЗДОРОВ’Я"
"DOTA_Mana"	"МАНА"
"DOTA_Skills"	"ЗДІБНОСТІ"
"DOTA_AttributeFooter"	"ШКОДА: %s1 БРОНЯ: %s2"
"DOTA_UnitSelection_Title"	"ВИБІР ІСТОТИ"
"DOTA_SelectHeroAndCenter"	"Вибрати героя і зцентрувати камеру"
"DOTA_TabUnit"	"Переключитися між обраними істотами"
"DOTA_ControlGroup1"	"1-ша група"
"DOTA_ControlGroup2"	"2-га група"
"DOTA_ControlGroup3"	"3-тя група"
"DOTA_ControlGroup4"	"4-та група"
"DOTA_ControlGroup5"	"5-та група"
"DOTA_StatTooltip_Header"	"Характеристики героя:\n\n"
"DOTA_StatTooltip_Strength"	"Сила:"
"DOTA_StatTooltip_Agility"	"Спритність:"
"DOTA_StatTooltip_Intelligence"	"Інтелект:"
"DOTA_StatTooltip_PrimaryAttrib"	" головна характеристика\n"
"DOTA_StatTooltip_StrengthBonus"	"- Кожне очко збільшує максимальне здоров’я на 20\n- Кожне очко збільшує регенерацію здоров’я на 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"- Кожні 7 очок збільшують броню на 1\n- Кожне очко збільшує швидкість атаки на 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- Кожне очко збільшує максимальну кількість мани на 12\n- Кожне очко збільшує регенерацію мани на 0.04\n- Кожні 16 очок збільшують шкоду від чар на 1%\n"
"DOTA_StatTooltip_PrimaryBonus"	"- Кожне очко збільшує шкоду на 1 од.\n"
"DOTA_StatTooltip_Buyback"	"Поточна вартість викупу: %s1\n"
"DOTA_GoodGuys"	"Сяйво"
"DOTA_BadGuys"	"Пітьма"
"DOTA_Towers"	"Залишилось веж: %s1"
"DOTA_Barracks"	"Казарм: %s1"
"DOTA_NotAvailable"	"Немає в наявності"
"DOTA_MoveForward"	"Камеру вперед"
"DOTA_MoveBack"	"Камеру назад"
"DOTA_MoveLeft"	"Камеру ліворуч"
"DOTA_MoveRight"	"Камеру праворуч"
"DOTA_CameraGrip"	"Зафіксувати камеру"
"DOTA_HeroSelect"	"Вибрати героя"
"DOTA_HeroCenter"	"Встановити камеру на героя"
"DOTA_HeroMoveHome"	"Надіслати героя до бази"
"DOTA_ControlGroupCycle"	"Наступна істота"
"DOTA_ControlGroup6"	"6-та група"
"DOTA_Escape"	"Скасувати"
"DOTA_Scoreboard"	"Таблиця результатів"
"DOTA_Screenshot"	"Скріншот"
"DOTA_Voice"	"Голос"
"DOTA_VoiceLane"	"Голос (на лінії)"
"DOTA_ChatGlobal"	"Загальний чат"
"DOTA_ChatTeam"	"Командний чат"
"DOTA_Learn_Abilities"	"Вивчити здібність"
"DOTA_Learn_Stats"	"Поліпшити характеристики"
"DOTA_UseActionItem_Key"	"Активний предмет"
"DOTA_StatTooltip_TotalAttributesSkilled"	"Рівень характеристики: "
"DOTA_DmgArmorTooltip_AttackSpeed"	"Швидкість атаки: "
"DOTA_DmgArmorTooltip_AttackSpeedSeconds"	" с на атаку"
"DOTA_DmgArmorTooltip_MoveSpeed"	"Швидкість руху: "
"DOTA_DmgArmorTooltip_AttackDamage"	"Шкода від атаки: "
"DOTA_DmgArmorTooltip_AttackRange"	"Дальність атаки: "
"DOTA_DmgArmorTooltip_Armor"	"Фізична броня: "
"DOTA_DmgArmorTooltip_DmgResist"	"Опір фізичній шкоді: "
"DOTA_DmgArmorTooltip_MagicArmor"	"Магічна броня: "
"DOTA_DmgArmorTooltip_MagicDmgResist"	"Опір магічній шкоді: "
"DOTA_HeroTaunt_Key"	"Кепкування"
"DOTAUI_AspectNormal"	"4:3"
"DOTAUI_AspectWide16x9"	"16:9"
"DOTAUI_AspectWide16x10"	"16:10"
"DOTAUI_Fullscreen"	"На весь екран"
"DOTAUI_Window"	"У вікні"
"DOTAUI_BorderlessWindow"	"У вікні без рамки"
"DOTA_Welcome"	"Вітаємо в DotA"
"DOTA_Chat_Team"	"[СОЮЗНИКАМ] %s1: %s2"
"DOTA_Chat_Team_Dead"	"*МЕРТВИЙ*[СОЮЗНИКАМ] %s1: %s2"
"DOTA_Chat_Spec"	"[Глядач] %s1: %s2"
"DOTA_Chat_All"	"%s1: %s2"
"DOTA_Chat_PlayerKilled"	"%s1 заробляє %s3 золота за голову гравця %s2!"
"DOTA_Chat_PlayerDenied"	"%s1 добиває %s2!"
"DOTA_Chat_PlayerDeniedSelf"	"%s1 накладає на себе руки!"
"DOTA_Chat_PlayerKilledGood"	"%s1 помирає від рук Пітьми! %s2 золота розподілено поміж усіх героїв Пітьми."
"DOTA_Chat_PlayerKilledBad"	"%s1 помирає від рук Сяйва! %s2 золота розподілено поміж усіх героїв Сяйва."
"DOTA_Chat_PlayerKilledGeneric"	"%s1 помирає від лап нейтральної істоти!"
"DOTA_Chat_PlayerKilledAssist"	"%s1 вбито! %s2 золота розділено між гравцями:"
"DOTA_Chat_TowerPlayerKilled"	"%s1 знищує вежу!"
"DOTA_Chat_TowerKilledGood"	"Вежа була знищена Пітьмою!"
"DOTA_Chat_TowerKilledBad"	"Вежа була знищена Сяйвом!"
"DOTA_Chat_BarracksKilled"	"Казарми %s3 %s1 на %s2 лінії були знищені!"
"DOTA_Chat_TowerDenied"	"%s1 добиває союзну вежу!"
"DOTA_Chat_FirstBlood"	"%s1 %s2 проливає першу кров, вбиваючи гравця %s3"
"DOTA_Chat_DoubleKill"	"%s1 %s2 вбиває двох!"
"DOTA_Chat_TripleKill"	"%s1 %s2 вбиває ТРЬОХ!"
"DOTA_Chat_QuadKill"	"%s1 %s2 ВБИВАЄ ЧОТИРЬОХ!"
"DOTA_Chat_QuintupleKill"	"%s1 %s2 ШАЛЕНІЄ!!!"
"DOTA_Chat_BuyBack"	"%s1 викуповується до гри!"
"DOTA_Chat_PickedUpAegis"	"%s1 підбирає Aegis of the Immortal!"
"DOTA_Chat_KilledRoshanGood"	"Рошана вбито Сяйвом! Кожен герой Сяйва заробляє %s1 золота!"
"DOTA_Chat_KilledRoshanBad"	"Рошана вбито Пітьмою! Кожен герой Пітьми заробляє %s1 золота!"
"DOTA_Chat_SuperCreepsGood"	"Усі казарми Пітьми були знищені. Сяйво отримує мегакріпів!"
"DOTA_Chat_SuperCreepsBad"	"Усі казарми Сяйва були знищені. Пітьма отримує мегакріпів!"
"DOTA_Chat_ItemPurchase"	"%s1 купує %s2!"
"DOTA_Chat_Connect"	"%s1 підключається до гри."
"DOTA_Chat_Disconnect"	"%s1 відключається від гри."
