"lang"
{
"Language"	"danish"
"Tokens"
{
"npc_dota_hero_antimage_bio"	"Turstarkuri-munkene betragtede de ujævne dale under deres bjergkloster, imens bølge efter bølge af invaderende farede gennem de lavere riger. Asketiske og pragmatiske i deres fjerne klosterlige ørnerede forblev de distanceret fra verdslig ufred. De var viklet ind i en meditation, som ikke kendte nogle guder eller magi-elementer. Men så ankom de Døde Guders legion; korsriddere med en skummel evne til at erstatte hele den lokale tilbedelse med deres ikke-levende herres giftige nihilosofi. Fra et landskab, som ikke havde kendt til andet end blod og stridigheder i tusinde år, rev de sjælene og knoglerne af utallige faldne legionærer og stillede dem op imod Turstarkuri. Klosteret stod knap nok imod angrebet i to uger, og det lille antal munke, som ulejligede sig, at stige ud af deres meditationer, troede, at de invaderende styrker blot var dæmoniske syner, sendt for at distrahere dem i deres meditation. De døde hvor de sad; på deres silkebløde puder. Kun én ung overlevede — en pilgrim som var ankommet som altertjener i sin søgen efter visdom, men som stadig ikke var blevet givet adgang til klosteret. Han så til i rædsel, da munkene, for hvilke han havde serveret te og nælder, var de første til at blive slagtet, for derpå at stige op og slutte sig til de Døde Guders præsteskab. Med intet andet end nogle få af Turstarkuris værdsatte dogmatiske ruller krøb han væk til den relative sikkerhed, der fandtes i andre lande. Her svor han, at han ville udslette ikke blot de Døde Guders magiudøvere — men også, at han ville sætte en stopper for al eksisterende magi."
"[english]npc_dota_hero_antimage_bio"	"The monks of Turstarkuri watched the rugged valleys below their mountain monastery as wave after wave of invaders swept through the lower kingdoms. Ascetic and pragmatic, in their remote monastic eyrie they remained aloof from mundane strife, wrapped in meditation that knew no gods or elements of magic. Then came the Legion of the Dead God, crusaders with a sinister mandate to replace all local worship with their Unliving Lord's poisonous nihilosophy. From a landscape that had known nothing but blood and battle for a thousand years, they tore the souls and bones of countless fallen legions and pitched them against Turstarkuri. The monastery stood scarcely a fortnight against the assault, and the few monks who bothered to surface from their meditations believed the invaders were but demonic visions sent to distract them from meditation. They died where they sat on their silken cushions. Only one youth survived--a pilgrim who had come as an acolyte, seeking wisdom, but had yet to be admitted to the monastery. He watched in horror as the monks to whom he had served tea and nettles were first slaughtered, then raised to join the ranks of the Dead God's priesthood. With nothing but a few of Turstarkuri's prized dogmatic scrolls, he crept away to the comparative safety of other lands, swearing to obliterate not only the Dead God's magic users--but to put an end to magic altogether. "
"npc_dota_hero_queenofpain_bio"	"Ecclesiast-kongen af Elze nærede en lyst til smerte — forbudt smerte. Som en mindre fremstående politisk figur, kan sådanne lyster muligvis opfattes som ukloge, men over for en monark af hans betydning, ville selv den Guddommelige Trone have stræbt efter, at tilfredsstille sådanne tørster. Derfor tog han til sin fangekælder, som var fuld af dæmonologer. Han lovede frihed til hvem end, der kunne fremmane en personlig smertens succubus, som skulle være fuldstændig bundet til hans tjeneste. Væsenet, som ankom, blev kaldt Akasha. Væsenet ramte ham med så heftig smerte, at han kaldte hende for sin hemmelige dronning, og han begyndte at tilbringe hvert eneste ledige øjeblik med at hengive sig selv til hendes ferme smerter — med tiden gav han afkald på alle sine forpligtelser på grund af sin søgen efter de smertefulde nydelser, som kun hun kunne give ham. Queen of Pain kunne få ham ud på dødens rand, men hun var bundet af runer til at holde ham i live. Til sidst førte kongens forsømmelse af staten en opstandelse med sig. Han blev trukket ud af sit kammer og smidt ud fra Påkaldelsens Tårn, og i det øjeblik, da han døde, blev Queen of Pain sat løs i verden. Hun var fri fra sit slaveri — fri til at lade sine smerter ramme hvem end, hun værdigede at bemærke."
"[english]npc_dota_hero_queenofpain_bio"	"The Ecclesiast-King of Elze nursed a desire for pain--forbidden pain. In a less prominent political figure, such desires might be considered unwise, but in a monarch of his stature, to satisfy such thirsts would have threatened the virtue of the Divine Throne itself. Therefore he turned to his dungeon full of demonologists, promising freedom to whoever could summon a personal succubus of torment and bind it entirely to his service. The creature who arrived, Akasha by name, visited upon him such exquisite torments that he named her his Secret Queen, and he began to spend all his spare moments submitting to her clever torments--eventually abdicating all his responsibilities in his pursuit of the painful pleasures that only she could bring. Queen of Pain could bring him to the brink of death, but she was rune-bound to keep him alive. At last the King's neglect of state brought on an uprising. He was dragged from his chamber and hurled from the Tower of Invocations, and at the moment of death, Queen of Pain was let loose into the world, freed from servitude--freed to visit her sufferings on anyone she deigned to notice."
"npc_dota_hero_lina_bio"	"Søskende-rivalisering mellem Lina, morderen, og hendes lillesøster Rylai, Crystal Maiden, var legende-materiale i den tempererede region, hvor de tilbragte deres stridslystne barndom sammen. Lina havde dog altid fordelen for, alt imens Crystal var ærlig og naiv, var Linas hede iver drevet af dygtighed og snuhed. De rasende forældre til dette uforenelige afkom boede på et halvt dusin gårde - de mistede den ene til ild, den næste til is - før det gik op for dem, at det hele ville blive meget lettere, hvis børnene blev adskilt. Som den ældste blev Lina sendt langt mod syd for at leve med en tålmodig tante i den brændende Misrule-ørken — en ørken med et klima som viste sig at være mere end behageligt for den flammende morder. Hendes ankomst gjorde et temmelig stort indtryk på de døsige lokale, og mere end blot én vordende frier brændte sine fingre eller måtte vende tilbage med svedne øjenbryn og et vraget fremstød. Lina er stolt og selvsikker, og intet kan neddæmpe hendes flamme."
"[english]npc_dota_hero_lina_bio"	"The sibling rivalries between Lina the Slayer, and her younger sister Rylai, the Crystal Maiden, were the stuff of legend in the temperate region where they spent their quarrelsome childhoods together. Lina always had the advantage, however, for while Crystal was guileless and naive, Lina's fiery ardor was tempered by cleverness and conniving. The exasperated parents of these incompatible offspring went through half a dozen homesteads, losing one to fire, the next to ice, before they realized life would be simpler if the children were separated. As the oldest, Lina was sent far south to live with a patient aunt in the blazing Desert of Misrule, a climate that proved more than comfortable for the fiery Slayer. Her arrival made quite an impression on the somnolent locals, and more than one would-be suitor scorched his fingers or went away with singed eyebrows, his advances spurned. Lina is proud and confident, and nothing can dampen her flame."
"npc_dota_hero_mirana_bio"	"Mirana, født ind i en royal familie som den næste blodprinsesse i Sol-tronens række, gav med glæde afkald på ethvert krav på trivielle riger og titler, da hun dedikerede sig selv fuldt ud til at tjene Selemene — månens gudinde. Mirana, siden da kendt som månens prinsesse, strejfer omkring i de hellige Nightsilver-skove, hvor hun leder efter hvem end, der vover at stjæle den hellige, selvlysende lotus fra det sølvskinnende vandhul i gudindens domæne. Ridende på sin enorme, fortrolige, katteagtige ven, er hun rolig, stolt og frygtløs; afstemt efter månens faser og de større stjernebilleders cyklusser. Hendes bue, som er behandlet med splinter af månemalm, pådrager sig månens kraft for at oplade sine lys-pile."
"[english]npc_dota_hero_mirana_bio"	"Born to a royal family, a blood princess next in line for the Solar Throne, Mirana willingly surrendered any claim to mundane land or titles when she dedicated herself completely to the service of Selemene, Goddess of the Moon. Known ever since as Princess of the Moon, Mirana prowls the sacred Nightsilver Woods searching for any who would dare poach the sacred luminous lotus from the silvery pools of the Goddess's preserve. Riding on her enormous feline familiar, she is poised, proud and fearless, attuned to the phases of the moon and the wheeling of the greater constellations. Her bow, tipped with sharp shards of lunar ore, draws on the moon's power to charge its arrows of light."
"npc_dota_hero_life_stealer_bio"	"I Devarques fangekælder er en hævngerrig troldmand lagt i lænker. Her planlægger han sin flugt. Han delte sin celle med et plaprende væsen kaldet N'aix, en tyv, som var blevet forbandet med en levetidsforlængende forbandelse af det Nedrige Råd, således at hans livstidsdom for tyveri og bedrageri kunne virke så straffende som overhovedet muligt. Igennem årene havde dets kæder, såvel som dets forstand, korroderet; N'aix bibeholdt ikke et eneste minde fra sit tidligere liv og drømte ikke længere om at slippe ud. Troldmanden så en perfekt beholder til sine planer. Troldmanden sammensatte en infestationsbesværgelse og smed sin livsstyrke ind i N'aix's krop med den hensigt, at tvinge N'aix til at ofre sig selv i et voldsvanvid, alt imens troldmanden kunne vende tilbage til sin krop og krybe væk ubemærket. I stedet blev troldmandens sind fanget i en malstrøm af galskab, der var så kraftig, at den fejede hans planer væk og knuste hans vilje. Rystet til bevidsthed af den pludselige indførsel af friskt liv vågnede N'aix op fra sit vanvidsmareridt og adlød den legemløse stemme, som talte indeni dets kranie, der kun tænkte én eneste tanke: At slippe fri. I det øjeblik blev Lifestealer født. Væsenet slyngede sit sind ind i fangekælderens vagter og soldater og tvang dem til at åbne låse og meje deres kammerater ned, for på denne måde at åbne en uhindret vej til friheden, og samtidig nære sig ved deres livstab. Lifestealer bærer stadig de brudte lænker som en advarsel om, at ingen kan kontrollere ham, men at der på indersiden stadig sidder en fange. To sind bebor den enkelte skikkelse — en navnløs skabning med en ildesindet udspekulerethed og Herren, hvis stemme han lader som om, han adlyder."
